episode:1, reward: -11, mean reward: -0.11, score: -0.7797818615975132, epsilon: 0.8998980061197552, total steps: 7
episode:2, reward: -11, mean reward: -0.93, score: -2.7919777683627984, epsilon: 0.8998470137691739, total steps: 10
episode:3, reward: -11, mean reward: 6.57, score: 91.91457291761353, epsilon: 0.8996090899162124, total steps: 24
episode:4, reward: -11, mean reward: -8.58, score: -25.751970415051055, epsilon: 0.8995581149000832, total steps: 27
episode:5, reward: -11, mean reward: -3.46, score: -6.927377215063089, epsilon: 0.8995241332551246, total steps: 29
episode:6, reward: -11, mean reward: -3.46, score: -6.927440866547492, epsilon: 0.8994901529694046, total steps: 31
episode:7, reward: -11, mean reward: -8.29, score: -24.86931237676422, epsilon: 0.8994391850892781, total steps: 34
episode:8, reward: -11, mean reward: 7.47, score: 44.79239808550973, epsilon: 0.8993372585027849, total steps: 40
episode:9, reward: -11, mean reward: 14.46, score: 101.24679404789389, epsilon: 0.8992183596097112, total steps: 47
episode:10, reward: -11, mean reward: -3.46, score: -6.927377153845924, epsilon: 0.8991843915546924, total steps: 49
episode:11, reward: -11, mean reward: 4.98, score: 174.29924136306704, epsilon: 0.8985901704822435, total steps: 84
episode:12, reward: -11, mean reward: -0.84, score: -5.860070793322983, epsilon: 0.8984713761741717, total steps: 91
episode:13, reward: -11, mean reward: 0.6, score: 2.3809208350857105, epsilon: 0.8984035011791138, total steps: 95
episode:14, reward: -11, mean reward: -10.42, score: -20.842946720794664, epsilon: 0.8983695657177803, total steps: 97
episode:15, reward: -11, mean reward: -0.83, score: -2.494749301552936, epsilon: 0.898318665070872, total steps: 100
episode:16, reward: -11, mean reward: 7.31, score: 94.97354086053215, epsilon: 0.8980981308886395, total steps: 113
episode:17, reward: -11, mean reward: 5.38, score: 16.14089829425123, epsilon: 0.8980472465273324, total steps: 116
episode:18, reward: -11, mean reward: 1.57, score: 7.854380984308307, epsilon: 0.8979624460427745, total steps: 121
episode:19, reward: -11, mean reward: -7.75, score: -23.24276650414528, epsilon: 0.8979115698223138, total steps: 124
episode:20, reward: -11, mean reward: 4.85, score: 14.556472506433174, epsilon: 0.8978606966543348, total steps: 127
episode:21, reward: -11, mean reward: -5.77, score: -17.303773465803573, epsilon: 0.8978098265386543, total steps: 130
episode:22, reward: -11, mean reward: -3.46, score: -6.927377223335796, epsilon: 0.8977759148238315, total steps: 132
episode:23, reward: -11, mean reward: -5.48, score: -21.931359603238057, epsilon: 0.8977080954634562, total steps: 136
episode:24, reward: -11, mean reward: -8.38, score: -25.1394926640793, epsilon: 0.8976572345035724, total steps: 139
episode:25, reward: -11, mean reward: 8.01, score: 72.10726190960943, epsilon: 0.8975046699325852, total steps: 148
episode:26, reward: -11, mean reward: -8.99, score: -26.95544215894745, epsilon: 0.8974538211778671, total steps: 151
episode:27, reward: -11, mean reward: -12.24, score: -24.47535937048422, epsilon: 0.897419923702974, total steps: 153
episode:28, reward: -11, mean reward: 6.88, score: 41.25687737566666, epsilon: 0.897318239413309, total steps: 159
episode:29, reward: -11, mean reward: -2.62, score: -7.852583617912742, epsilon: 0.8972674018440865, total steps: 162
episode:30, reward: -11, mean reward: -3.46, score: -6.927377311028529, epsilon: 0.8972335118258177, total steps: 164
episode:31, reward: -11, mean reward: 15.04, score: 90.2496244614942, epsilon: 0.8971318499042359, total steps: 170
episode:32, reward: -11, mean reward: -10.48, score: -20.961098651470785, epsilon: 0.8970979653079361, total steps: 172
episode:33, reward: -11, mean reward: -12.27, score: -24.542956624466832, epsilon: 0.8970640820669932, total steps: 174
episode:34, reward: -11, mean reward: 6.26, score: 87.63758419163524, epsilon: 0.8968269373258274, total steps: 188
episode:35, reward: -11, mean reward: -5.33, score: -15.988900865787514, epsilon: 0.896776129233846, total steps: 191
episode:36, reward: -11, mean reward: 3.49, score: 17.472838705598015, epsilon: 0.8966914558546621, total steps: 196
episode:37, reward: -11, mean reward: -12.25, score: -24.50821884734556, epsilon: 0.896657588873772, total steps: 198
episode:38, reward: -11, mean reward: 7.72, score: 23.15487528710659, epsilon: 0.8966067909423928, total steps: 201
episode:39, reward: -11, mean reward: -1.58, score: -9.46616225186505, epsilon: 0.8965052042228048, total steps: 207
episode:40, reward: -11, mean reward: 4.66, score: 60.56862944047897, epsilon: 0.8962851414791032, total steps: 220
episode:41, reward: -11, mean reward: 2.97, score: 17.82459935593065, epsilon: 0.896183593355135, total steps: 226
episode:42, reward: -11, mean reward: -12.27, score: -24.541342173768477, epsilon: 0.8961497466883387, total steps: 228
episode:43, reward: -11, mean reward: -1.81, score: -7.258026734701254, epsilon: 0.8960820574162106, total steps: 232
episode:44, reward: -11, mean reward: 8.34, score: 75.04174710578282, epsilon: 0.8959297763515827, total steps: 241
episode:45, reward: -11, mean reward: -3.66, score: -10.971032676058982, epsilon: 0.8958790220876447, total steps: 244
episode:46, reward: -11, mean reward: 6.2, score: 37.21556816575491, epsilon: 0.8957775226950795, total steps: 250
episode:47, reward: -11, mean reward: -3.46, score: -6.927440866547492, epsilon: 0.8957436922707847, total steps: 252
episode:48, reward: -11, mean reward: 4.84, score: 67.73942102873062, epsilon: 0.8955069171870076, total steps: 266
episode:49, reward: -11, mean reward: 6.18, score: 49.443828985579586, epsilon: 0.895371646902169, total steps: 274
episode:50, reward: -11, mean reward: -7.05, score: -21.142679111181295, epsilon: 0.8953209261249935, total steps: 277
episode:51, reward: -11, mean reward: -12.27, score: -24.543958259591186, epsilon: 0.8952871139641961, total steps: 279
episode:52, reward: -11, mean reward: -12.27, score: -24.544795224729377, epsilon: 0.8952533031558583, total steps: 281
episode:53, reward: -11, mean reward: -12.25, score: -24.504543284777014, epsilon: 0.8952194936999256, total steps: 283
episode:54, reward: -11, mean reward: 11.98, score: 119.76460975965847, epsilon: 0.8950504667044485, total steps: 293
episode:55, reward: -11, mean reward: 8.42, score: 50.540430051526265, epsilon: 0.8949490667325641, total steps: 299
episode:56, reward: -11, mean reward: 1.92, score: 15.382978894371966, epsilon: 0.8948138856966581, total steps: 307
episode:57, reward: -11, mean reward: 5.37, score: 42.94083399014053, epsilon: 0.8946787262879877, total steps: 315
episode:58, reward: -11, mean reward: 9.84, score: 196.82538199949218, epsilon: 0.8943409223627616, total steps: 335
episode:59, reward: -11, mean reward: 4.35, score: 87.03031805192651, epsilon: 0.8940032535320849, total steps: 355
episode:60, reward: -11, mean reward: -12.24, score: -24.47588068238155, epsilon: 0.8939694940771372, total steps: 357
episode:61, reward: -11, mean reward: -3.46, score: -6.927358956406778, epsilon: 0.8939357359725406, total steps: 359
episode:62, reward: -11, mean reward: 5.07, score: 40.56815823654262, epsilon: 0.8938007170565864, total steps: 367
episode:63, reward: -11, mean reward: -2.79, score: -13.952194234264468, epsilon: 0.8937163412037438, total steps: 372
episode:64, reward: -11, mean reward: 1.43, score: 8.592685871505537, epsilon: 0.8936151013173139, total steps: 378
episode:65, reward: -11, mean reward: -1.19, score: -7.16886395258831, epsilon: 0.8935138735789416, total steps: 384
episode:66, reward: -11, mean reward: 3.49, score: 17.458969409201046, epsilon: 0.8934295264090125, total steps: 389
episode:67, reward: -11, mean reward: -2.59, score: -15.558638366202423, epsilon: 0.8933283209382932, total steps: 395
episode:68, reward: -11, mean reward: -1.18, score: -7.102446180940824, epsilon: 0.8932271276115016, total steps: 401
episode:69, reward: -11, mean reward: -7.27, score: -21.800217876472587, epsilon: 0.8931765355016233, total steps: 404
episode:70, reward: -11, mean reward: 3.8, score: 18.979491321813455, epsilon: 0.8930922220638153, total steps: 409
episode:71, reward: -11, mean reward: -2.17, score: -13.048925030129887, epsilon: 0.8929910570671888, total steps: 415
episode:72, reward: -11, mean reward: 4.37, score: 96.15220981126953, epsilon: 0.8926202225916468, total steps: 437
episode:73, reward: -11, mean reward: -3.5, score: -7.005131122634552, epsilon: 0.8925865184568302, total steps: 439
episode:74, reward: -11, mean reward: 0.34, score: 1.3489831038658764, epsilon: 0.8925191142315587, total steps: 443
episode:75, reward: -11, mean reward: 2.11, score: 33.697200575226766, epsilon: 0.8922495512473824, total steps: 459
episode:76, reward: -11, mean reward: -12.2, score: -24.404235475006757, epsilon: 0.8922158619391231, total steps: 461
episode:77, reward: -11, mean reward: -12.24, score: -24.474616614106786, epsilon: 0.8921821739784092, total steps: 463
episode:78, reward: -11, mean reward: -12.25, score: -24.50821884734556, epsilon: 0.8921484873651868, total steps: 465
episode:79, reward: -11, mean reward: -12.2, score: -24.404325072333897, epsilon: 0.8921148020994021, total steps: 467
episode:80, reward: -11, mean reward: 2.13, score: 17.038989313366997, epsilon: 0.8919800745095607, total steps: 475
episode:81, reward: -11, mean reward: -7.61, score: -30.433164160357983, epsilon: 0.8919127187978644, total steps: 479
episode:82, reward: -11, mean reward: -3.98, score: -15.92079982082845, epsilon: 0.8918453684744093, total steps: 483
episode:83, reward: -11, mean reward: 4.23, score: 71.9258950717821, epsilon: 0.8915591897022762, total steps: 500
episode:84, reward: -11, mean reward: 6.47, score: 38.839721327490274, epsilon: 0.8914582086584958, total steps: 506
episode:85, reward: -11, mean reward: -3.46, score: -6.927377186936077, epsilon: 0.891424551003307, total steps: 508
